9.214245676994323730e-01 2.624764442443847656e-01 9.815706610679626465e-01 5.850624293088912964e-02 5.995991945266723633e+00
9.671976566314697266e-01 1.108330488204956055e-01 9.818710684776306152e-01 5.547228455543518066e-02 1.551722049713134766e+00
9.728728532791137695e-01 9.246920794248580933e-02 9.867790341377258301e-01 4.128219187259674072e-02 1.553557872772216797e+00
9.759943485260009766e-01 7.856895029544830322e-02 9.895834326744079590e-01 3.300403058528900146e-02 1.551198959350585938e+00
9.766454696655273438e-01 7.816349714994430542e-02 9.871795773506164551e-01 3.874490410089492798e-02 1.721278667449951172e+00
9.792156815528869629e-01 6.905169039964675903e-02 9.880810976028442383e-01 4.138014093041419983e-02 1.556839227676391602e+00
9.796329140663146973e-01 6.622946262359619141e-02 9.883815646171569824e-01 3.594344481825828552e-02 1.552078962326049805e+00
9.808850884437561035e-01 6.348931789398193359e-02 9.908854365348815918e-01 3.117463923990726471e-02 1.548830509185791016e+00
9.823539853096008301e-01 5.779030174016952515e-02 9.915866851806640625e-01 2.843679301440715790e-02 1.554481744766235352e+00
9.818529486656188965e-01 5.936245247721672058e-02 9.892829656600952148e-01 3.781814500689506531e-02 1.552369594573974609e+00
9.821532964706420898e-01 5.715488269925117493e-02 9.896835088729858398e-01 3.469675406813621521e-02 1.558287620544433594e+00
9.837393760681152344e-01 5.184505134820938110e-02 9.907853603363037109e-01 3.104985877871513367e-02 1.552586078643798828e+00
9.827376604080200195e-01 5.581315234303474426e-02 9.890826940536499023e-01 3.497678786516189575e-02 1.566687822341918945e+00
9.826039671897888184e-01 5.648879334330558777e-02 9.897837638854980469e-01 3.704123571515083313e-02 1.552768230438232422e+00
9.840064644813537598e-01 5.195908248424530029e-02 9.896836280822753906e-01 3.701559081673622131e-02 1.555039882659912109e+00
9.835055470466613770e-01 5.703981593251228333e-02 9.887822270393371582e-01 3.740414232015609741e-02 1.552114009857177734e+00
